상품코드,상품명,중분류,유통기한(일),발주단위수량,발주단위명,대분류,소분류코드,소분류명,판매가,행사유형,행사명,발주상태,발주가능요일
8801068935998,삼립)땅콩카라멜붓세,014,33,3,낱개,11,230,상온디저트,1300,2+1,,,일월화수목금토
8801068936001,삼립)통팥도라야끼,014,33,4,낱개,11,230,상온디저트,1300,2+1,,,일월화수목금토
8801068936018,삼립)황치즈버터파이,014,33,4,낱개,11,230,상온디저트,1300,2+1,,,일월화수목금토
8805663014126,405)땅콩샌드쿠키,014,40,5,낱개,11,230,상온디저트,1300,할인,,가능,월화수목금토
8805663014133,405)모카샌드쿠키,014,40,5,낱개,11,230,상온디저트,1300,할인,,가능,월화수목금토
8805663014140,405)코코아샌드쿠키,014,40,5,낱개,11,230,상온디저트,1300,할인,,가능,월화수목금토
8801007091297,CJ)쁘띠첼밀감컵90g,014,80,1,낱개,11,036,"냉장젤리,푸딩",2000,1+1,,,월화수목금토
8801007091310,CJ)쁘띠첼복숭아컵90g,014,80,1,낱개,11,036,"냉장젤리,푸딩",2000,1+1,,,월화수목금토
8801007069555,CJ)쁘띠첼요거딸기,014,80,1,낱개,11,036,"냉장젤리,푸딩",2000,,,불가,월화수목금토
8801007069562,CJ)쁘띠첼요거화이트코코,014,80,1,낱개,11,036,"냉장젤리,푸딩",2000,,,불가,월화수목금토
8801007608631,CJ)쁘띠첼파인애플컵90g,014,80,1,낱개,11,036,"냉장젤리,푸딩",2000,,,불가,월화수목금토
8809692951766,조이)초코청크로얄쿠키,014,87,6,낱개,11,230,상온디저트,1600,,,,일월화수목금토
4995913175142,에이스)훗카이도저지푸딩,014,90,1,낱개,11,036,"냉장젤리,푸딩",4800,,,,월화수목금토
8800247140031,에이원)오리지널도나쓰,014,90,10,낱개,11,230,상온디저트,1200,2+1,,,일월화수목금토
8801728107949,대산)엄마랑도나쓰,014,98,10,묶음,11,230,상온디저트,1200,,,불가,월화수목금토
8800246200477,어니)루피미니도넛초코,014,98,20,낱개,11,230,상온디저트,700,2+1,,,월화수목금토
8800246200309,어니)잔망루피미니도넛,014,98,20,낱개,11,230,상온디저트,700,,,불가,월화수목금토
8809064498370,뚜또)밀감컵,014,110,1,낱개,11,036,"냉장젤리,푸딩",2900,2+1,,,월화수목금토
8809064498431,뚜또)코코딸기컵,014,110,1,낱개,11,036,"냉장젤리,푸딩",2900,2+1,,,일월화수목금토
8809064498646,뚜또)후르츠믹스컵,014,110,1,낱개,11,036,"냉장젤리,푸딩",2900,2+1,,,월화수목금토
8809523624616,참조은)끼리치즈타르트,014,110,5,낱개,11,322,냉동디저트,2500,,,가능,월화수목금토
8804624073530,호정)군고구마도나스,014,117,10,낱개,11,230,상온디저트,1200,2+1,,,월화수목금토
8809064499933,뚜또)파인애플컵,014,120,1,낱개,11,036,"냉장젤리,푸딩",2900,2+1,,,월화수목금토
8809064500035,뚜또)코코레몬,014,156,1,낱개,11,036,"냉장젤리,푸딩",,,,불가,월화수목금토
8809064500042,뚜또)코코포도,014,156,1,낱개,11,036,"냉장젤리,푸딩",2500,,,불가,월화수목금토
8809963483798,선우)말차두쫀볼,014,176,8,지함,11,230,상온디저트,4500,,,불가,일월화수목금토
8809963483774,선우)초코두쫀볼,014,176,8,지함,11,230,상온디저트,4500,,,불가,일월화수목금토
8809729361445,FB)후룻엔젤파인컵,014,180,1,낱개,11,036,"냉장젤리,푸딩",1300,,,불가,월화수목금토
8809069304812,돌)망고컵198g,014,180,1,낱개,11,036,"냉장젤리,푸딩",3200,,,,월화수목금토
8809069304034,돌)복숭아피치컵198g,014,180,1,낱개,11,036,"냉장젤리,푸딩",3200,,,,월화수목금토
